time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
123,0.7,3.17,3.08,1.36,0.99,0.97
124,0.7,3.17,3.07,1.36,0.99,0.97
125,0.7,3.16,3.07,1.35,0.99,1.25
126,0.69,3.16,3.06,1.35,0.98,1.24
127,0.69,3.16,3.06,1.35,0.98,1.24
128,0.69,3.16,3.06,1.35,0.98,1.24
129,0.68,3.16,3.05,1.34,0.98,1.24
130,0.68,3.15,3.05,1.34,0.98,1.24
131,0.68,3.15,3.04,1.34,0.97,1.23
132,0.68,3.15,3.04,1.34,0.97,1.23
133,0.68,3.15,3.04,1.33,0.97,1.23
134,0.67,3.15,3.03,1.33,0.97,1.22
135,0.67,3.14,3.03,1.33,0.97,1.22
136,0.67,3.14,3.03,1.33,0.96,1.22
137,0.67,3.14,3.02,1.32,0.96,1.22
138,0.67,3.14,3.02,1.32,0.96,1.22
139,0.67,3.13,3.02,1.32,0.96,1.21
140,0.67,3.13,3.01,1.32,0.95,1.21
141,0.66,3.13,3.01,1.32,0.95,1.21
142,0.66,3.13,3.01,1.31,0.95,1.21
143,0.66,3.12,3,1.31,0.95,1.2
144,0.95,3.12,3,1.31,0.95,1.2
145,0.95,3.12,2.99,1.3,0.94,1.2
146,0.94,3.12,2.99,1.3,0.94,1.2
147,0.94,3.12,2.99,1.3,0.94,1.19
148,0.94,3.11,2.98,1.3,0.94,1.19
149,0.94,3.11,2.98,1.3,0.94,1.19
150,0.94,3.11,2.98,1.3,0.94,1.19
151,0.93,3.11,2.97,1.29,0.94,1.18
152,0.93,3.11,2.97,1.29,0.93,1.18
153,0.93,3.11,2.97,1.29,0.93,1.18
154,0.93,3.1,2.96,1.29,1.63,1.18
155,0.93,3.1,2.96,1.28,1.63,1.18
156,0.92,3.1,2.95,1.28,1.63,1.17
157,0.92,3.1,2.95,1.28,1.63,1.17
158,0.92,3.1,2.95,1.27,1.63,1.17
159,0.91,3.09,2.95,1.27,1.62,1.17
160,0.91,3.09,2.94,1.27,1.62,1.17
161,0.91,3.09,2.94,1.27,1.62,1.16
162,0.91,3.08,2.94,1.26,1.61,1.16
163,0.91,3.08,2.94,1.26,1.61,1.16
164,0.9,3.08,2.93,1.26,1.61,1.16
165,0.9,3.08,2.93,1.26,1.61,1.15
166,0.9,3.08,2.93,1.26,1.61,1.15
167,0.9,3.08,2.92,1.25,1.6,1.15
168,0.89,3.07,2.92,1.25,1.6,1.15
169,0.89,3.07,2.92,1.25,1.6,1.14
170,0.89,3.07,2.91,1.25,1.6,1.14
171,0.88,3.07,2.91,1.24,1.59,1.14
172,0.88,3.07,2.91,1.24,1.59,1.14
173,0.88,3.06,2.91,1.24,1.59,1.14
174,0.88,3.06,2.91,1.23,1.59,1.13
175,0.88,3.06,2.91,1.23,1.58,1.13
176,0.87,3.06,2.9,1.23,1.58,1.13
177,0.87,3.06,2.9,1.23,1.58,1.13
178,0.87,3.05,2.9,1.23,1.58,1.12
179,0.87,3.05,2.89,1.22,1.58,1.12
180,0.87,3.05,2.89,1.22,1.57,1.12
181,0.86,3.05,2.89,1.22,1.57,1.12
182,1,3.04,2.89,1.22,1.57,1.12
183,1.11,3.04,2.88,1.21,1.57,1.11
184,1.11,3.04,2.88,1.21,1.56,1.11
185,1.11,3.04,2.88,1.21,1.56,1.64
186,1.11,3.04,3.19,1.21,1.56,1.65
187,1.1,3.03,3.19,1.2,1.56,1.64
188,1.1,3.03,3.18,1.2,1.55,1.67
189,1.1,3.03,3.2,1.2,1.55,1.66
190,1.1,3.03,3.2,1.2,1.55,1.66
191,1.09,3.03,3.2,1.19,1.55,1.66
192,1.09,3.02,3.19,1.19,1.55,1.65
193,1.09,3.02,3.19,1.19,1.55,1.65
194,1.09,3.02,3.2,1.19,1.54,1.65
195,1.08,3.02,3.19,1.19,1.54,1.65
196,1.08,3.02,3.19,1.18,1.54,1.65
197,1.08,3.01,3.18,1.18,1.54,1.64
198,1.08,3.01,3.18,1.18,1.54,1.64
199,1.08,3.01,3.18,1.18,1.53,1.64
200,1.07,3.01,3.17,1.17,1.53,1.64
201,1.07,3.01,3.17,1.17,1.53,1.64
202,1.07,3,3.17,1.17,1.53,1.63
203,1.07,3,3.17,1.22,1.52,1.63
204,1.06,3,3.17,1.24,1.52,1.63
205,1.06,3,3.16,1.25,1.52,1.63
206,1.06,3,3.16,1.24,1.52,1.63
207,1.05,2.99,3.16,1.24,1.52,1.62
208,1.05,2.99,3.15,1.24,1.51,1.62
209,1.05,2.99,3.15,1.23,1.51,1.62
210,1.05,2.99,3.15,1.23,1.51,1.61
211,1.05,2.99,3.14,1.23,1.51,1.61
212,1.04,2.98,3.15,1.22,1.51,1.61
213,1.04,2.98,3.14,1.22,1.5,1.61
214,1.04,2.98,3.14,1.22,1.5,1.61
