time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
594,3.24,0,0,2.84,0,5.18
595,3.24,0,0,2.84,0,5.18
596,3.24,0,0,2.83,0,5.17
597,3.24,0,0,2.83,0,5.17
598,3.24,0,0,2.83,0,5.17
599,3.23,0,0,2.83,0,5.17
600,3.23,0,0,2.82,0,5.17
601,3.23,0,0,2.82,0,5.16
602,3.23,0,0,2.82,0,5.16
603,3.23,0,0,2.82,0,5.16
604,3.23,0,0,2.82,0,5.16
605,3.22,0,0,2.81,0,5.16
606,3.22,0,0,2.81,0,6.04
607,3.22,0,0,2.81,0,6.06
608,3.22,0,0,2.8,0,6.06
609,3.21,0,0,2.8,0,6.06
610,3.21,0,0,2.8,0,6.06
611,3.21,0,0,2.8,0,6.05
612,3.21,0,0,2.8,0,6.08
613,3.21,0,0,2.79,0,6.08
614,3.21,0,0,2.79,0,6.07
615,3.2,0,0,2.79,0,6.07
616,3.2,0,0,2.78,0,6.07
617,3.2,0,0,2.78,0,6.06
618,3.2,0,0,2.78,0,6.06
619,3.19,0,0,2.78,0,6.06
620,3.19,0,0,2.77,0,6.06
621,3.19,0,0,2.77,0,6.06
622,3.79,0,0,2.77,0,6.05
623,3.81,0,0,2.77,0,6.05
624,3.81,0,0,2.77,0,6.05
625,3.81,0,0,2.76,0,6.05
626,3.8,0,0,2.76,0,6.05
627,3.8,0,0,2.76,0,6.04
628,3.8,0,0,2.76,0,6.04
629,3.79,0,0,2.75,0,6.04
630,3.79,0,0,2.75,0,6.04
631,3.79,0,0,2.75,0,6.04
632,3.79,0,0,2.75,0,6.03
633,3.79,0,0,2.74,0,6.03
634,3.78,0,0,2.74,0,6.03
635,3.78,0,0,2.74,0,6.02
636,3.78,0,0,2.74,0,6.02
637,3.78,0,0,3.3,0,6.02
638,3.78,0,0,3.32,0,6.02
639,3.78,0,0,3.32,0,6.02
640,3.77,0,0,3.32,0,6.02
641,3.77,0,0,3.31,0,6.01
642,3.77,0,0,3.31,0,6.01
643,3.77,0,0,3.31,0,6.01
644,3.76,0,0,3.3,0,6.01
645,3.76,0,0,3.3,0,6
646,3.76,0,0,3.3,0,6
647,3.76,0,0,3.3,0,6
648,3.75,0,0,3.3,0,6
649,3.75,0,0,3.29,0,5.99
650,3.75,0,0,3.29,0,5.99
651,3.75,0,0,3.29,0,6.04
652,3.75,0,0,3.28,0,6.76
653,3.74,0,0,3.28,0,6.75
654,3.74,0,0,3.28,0,6.75
655,3.74,0,0,3.3,0,6.79
656,3.74,0,0,3.32,0,6.79
657,3.74,0,0,3.32,0,6.79
658,3.73,0,0,3.31,0,6.79
659,3.73,0,0,3.31,0,6.79
660,3.73,0,0,3.31,0,6.78
661,3.73,0,0,3.31,0,6.78
662,3.73,0,0,3.31,0,6.78
663,3.73,0,0,3.31,0,6.78
664,3.72,0,0,3.3,0,6.78
665,3.72,0,0,3.3,0,6.77
666,3.72,0,0,3.3,0,6.77
667,3.72,0,0,3.29,0,6.77
668,3.71,0,0,3.29,0,6.77
669,3.71,0,0,3.29,0,6.77
670,3.71,0,0,3.29,0,6.77
671,3.71,0,0,3.29,0,6.76
672,3.7,0,0,3.28,0,6.76
673,3.7,0,0,3.28,0,6.76
674,3.7,0,0,3.28,0,6.76
675,3.7,0,0,3.28,0,6.75
676,3.69,0,0,3.27,0,6.75
677,3.69,0,0,3.27,0,6.75
678,3.69,0,0,3.67,0,6.75
679,3.69,0,0,3.67,0,6.74
680,3.69,0,0,3.67,0,6.74
681,3.69,0,0,3.69,0,6.74
682,3.68,0,0,3.69,0,6.74
683,3.68,0,0,3.69,0,6.73
684,3.68,0,0,3.68,0,6.73
685,3.68,0,0,3.68,0,6.73
686,3.68,0,0,3.68,0,6.73
687,3.67,0,0,3.68,0,6.73
688,3.67,0,0,3.67,0,6.72
689,3.67,0,0,3.68,0,6.72
690,3.67,0,0,3.67,0,6.72
691,3.66,0,0,3.67,0,6.72
692,3.66,0,0,3.67,0,6.71
693,3.66,0,0,3.67,0,6.71
694,3.66,0,0,3.67,0,6.71
695,3.66,0,0,3.66,0,6.71
696,3.65,0,0,3.66,0,6.71
697,3.65,0,0,3.65,0,6.7
698,3.65,0,0,3.66,0,6.7
699,3.65,0,0,3.65,0,6.7
700,3.65,0,0,3.65,0,7.33
701,4.34,0,0,3.67,0,7.35
702,4.34,0,0,3.72,0,7.34
703,4.33,0,0,3.72,0,7.34
704,4.33,0,0,3.72,0,7.34
705,4.33,0,0,3.72,0,7.34
706,4.33,0,0,3.71,0,7.34
707,4.32,0,0,3.71,0,7.34
708,4.32,0,0,3.71,0,7.33
709,4.32,0,0,3.71,0,7.33
710,4.32,0,0,3.71,0,7.33
711,4.32,0,0,3.71,0,7.33
712,4.31,0,0,3.7,0,7.32
713,4.31,0,0,3.7,0,7.32
714,4.31,0,0,3.7,0,7.32
715,4.31,0,0,3.69,0,7.32
716,4.31,0,0,3.69,0,7.31
717,4.3,0,0,3.69,0,7.31
718,4.3,0,0,3.69,0,7.31
719,4.3,0,0,3.69,0,7.31
720,4.3,0,0,3.68,0,7.31
721,4.29,0,0,3.68,0,7.3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
